id,latitude,longitude,name,display_name,zone,total_lines,rail
1,48.8843997149084,2.33839938417104,Abbesses,Abbesses,1,1,0
4,48.8280660196865,2.32682742005084,Alésia,Alésia,1,1,0
5,48.8564263483252,2.39455425765499,Alexandre-Dumas,Alexandre-Dumas,1,1,0
6,48.8642986710467,2.30125141044993,Alma-Marceau,Alma-Marceau,1,1,0
7,48.8920186263289,2.28551744479448,Anatole-France,Anatole-France,1,1,0
9,48.8828716901806,2.34416357280039,Anvers,Anvers,1,1,0
11,48.8756724859879,2.28944416448145,Argentine,Argentine,1,1,0
12,48.8655518636348,2.35610815512031,Arts-et-Métiers,Arts-et-Métiers,1,2,0
13,48.8614539042949,2.32030969050736,Assemblée Nationale,Assemblée Nationale,1,1,0
15,48.9038980475295,2.39248007867247,Aubervilliers Pantin (4 Chemins),Aubervilliers Pantin (4 Chemins),1,1,0
17,48.8468521519498,2.29544882793447,Avenue Emile-Zola,Avenue Emile-Zola,1,1,0
18,48.8511938192133,2.39823914082312,Avron,Avron,1,1,0
20,48.8839317699344,2.34935570859965,Barbès-Rochechouart,Barbès-Rochechouart,1,2,0
21,48.9364774926505,2.35963974530458,Basilique de Saint-Denis,Basilique de Saint-Denis,1,1,0
22,48.8529756746542,2.36921882444334,Bastille,Bastille,1,2,0
23,48.8421778264757,2.40114243430575,Bel-Air,Bel-Air,1,1,0
24,48.8719457979749,2.3767510413738,Belleville,Belleville,1,2,0
25,48.8453687501573,2.42824450962049,Bérault,Bérault,1,1,0
26,48.8401922444035,2.37947725726606,Bercy,Bercy,1,1,0
27,48.8320876442825,2.23816077687551,Billancourt,Billancourt,1,1,0
28,48.8543272185524,2.28881010373612,Bir-Hakeim (Grenelle),Bir-Hakeim (Grenelle),1,1,0
30,48.8837705188318,2.33248514827409,Blanche,Blanche,1,1,0
31,48.9071473125516,2.44945750453114,Bobigny-Pablo-Picasso,Bobigny-Pablo-Picasso,1,1,0
32,48.895799232549,2.42485729839759,Bobigny-Pantin (Raymond Queneau),Bobigny-Pantin (Raymond Queneau),1,1,0
33,48.8668561547603,2.29003807344501,Boissière,Boissière,1,1,0
35,48.8807901228285,2.37415512666265,Bolivar,Bolivar,1,1,0
36,48.870495832331,2.3488621174406,Bonne Nouvelle,Bonne Nouvelle,1,1,0
37,48.8796070889331,2.38941556965321,Botzaris,Botzaris,1,1,0
38,48.840680163122,2.22831366172434,Boulogne Pont de Saint-Cloud,Boulogne Pont de Saint-Cloud,1,1,0
39,48.8422801435297,2.23886297536727,Boulogne-Jean-Jaurès,Boulogne-Jean-Jaurès,1,1,0
41,48.8687617925964,2.3406741288121,Bourse,Bourse,1,1,0
42,48.8567679495405,2.37077385838438,Bréguet-Sabin,Bréguet-Sabin,1,1,0
43,48.8906266330241,2.32019112127533,Brochant,Brochant,1,1,0
47,48.8778039560078,2.38121109973599,Buttes-Chaumont,Buttes-Chaumont,1,1,0
48,48.8517674745052,2.40118148387264,Buzenval,Buzenval,1,1,0
49,48.8758257180382,2.34334512457327,Cadet,Cadet,1,1,0
50,48.8476991081708,2.30203914366926,Cambronne,Cambronne,1,1,0
51,48.8355512166754,2.3587520951914,Campo-Formio,Campo-Formio,1,1,0
52,48.8467058690603,2.3513351789726,Cardinal-Lemoine,Cardinal-Lemoine,1,1,0
53,48.8405943000016,2.35175561294669,Censier-Daubenton,Censier-Daubenton,1,1,0
57,48.8673665704698,2.31419106339366,Champs-Elysées-Clémenceau,Champs-Elysées-Clémenceau,1,2,0
