line,name,colour,stripe
1,M1,FFCF00,NULL
2,M2,0B4A9E,NULL
3,M3,8A8711,NULL
4,M4,B82690,NULL
5,M5,FD782A,NULL
6,M6,75C577,NULL
7,M7,F989AD,NULL
8,M8,C693C7,NULL
9,M9,C4CB0B,NULL
10,M10,DEA81B,NULL
11,M11,753D09,NULL
12,M12,016A3C,NULL
13,M13,90D4CD,NULL
14,M14,4A007D,NULL
15,M3bis,90D4CD,NULL
16,M7bis,75C577,NULL
17,RER A,FE2A01,NULL
18,RER B,3667AD,NULL
19,RER C,FCD946,NULL
20,RER D,5E9620,NULL
21,RER E,BD76A1,NULL
22,T1,0B4A9E,FFFFFF
23,T2,B82690,FFFFFF
24,T3a,F78C48,FFFFFF
25,T3b,00A962,FFFFFF
26,T5,5D228D,FFFFFF
27,T6,ED1C2B,FFFFFF
28,T7,8C6439,FFFFFF
29,T8,9B993A,FFFFFF
30,T4,F9B521,FFFFFF
