line,name,colour
3,Redon-Nantes,b58900
9,Rennes-Châteaubriant,cb4b16
13,Rennes-Dol-St Malo,2aa198
14,Rennes-Vitré-Laval-Le Mans,d33682
15,Rennes-Redon,b58900
16,Rennes-St Brieuc,268bd2
17,Dol-Dinan,dc322f
19,Redon-Vannes-Lorient-Quimper,b58900
21,St Brieuc-Lannion-Morlaix,268bd2
21b,St Brieuc-Morlaix,268bd2
22,Morlaix-Brest,268bd2
23,Morlaix-Roscoff,268bd2
24,Dol-Dinan-Lamballe,dc322f
25,Guingamp-Carhaix,859900
25b,Guingamp-Paimpol,859900
26,Rosporden-Carhaix,859900
31,Quimper-Brest,b58900
33,St Brieuc-Vannes,6c71c4
34,St Brieuc-Lorient,6c71c4
