station1,station2,line,time
11,20,3,780
20,21,3,600
21,22,3,600
22,23,3,1440
23,22,3,1320
22,21,3,540
21,20,3,480
20,11,3,660
1,26,9,360
26,27,9,480
27,28,9,360
28,29,9,360
29,30,9,540
30,31,9,420
31,32,9,300
32,33,9,780
33,34,9,900
34,33,9,960
33,32,9,780
32,31,9,360
31,30,9,480
30,29,9,480
29,28,9,300
28,27,9,300
27,26,9,360
26,1,9,300
1,35,13,300
35,36,13,360
36,37,13,300
37,38,13,240
38,39,13,300
39,40,13,240
40,41,13,240
41,42,13,420
42,43,13,360
43,44,13,420
44,45,13,420
45,46,13,300
46,47,13,420
47,46,13,360
46,45,13,300
45,44,13,420
44,43,13,360
43,42,13,360
42,41,13,300
41,40,13,300
40,39,13,240
39,38,13,300
38,37,13,240
37,36,13,240
36,35,13,420
35,1,13,240
1,48,14,300
48,49,14,300
49,50,14,300
50,51,14,300
51,52,14,300
52,53,14,540
53,54,14,540
54,55,14,240
55,56,14,360
56,57,14,420
57,56,14,480
56,55,14,300
55,54,14,300
54,53,14,540
53,52,14,360
52,51,14,360
51,50,14,300
50,49,14,300
49,48,14,360
48,1,14,300
1,59,15,360
59,60,15,300
60,24,15,180
24,61,15,360
61,25,15,360
25,62,15,300
62,63,15,300
63,10,15,360
10,64,15,420
64,65,15,300
65,66,15,300
66,11,15,480
11,66,15,540
66,65,15,300
65,64,15,300
64,10,15,480
10,63,15,420
63,62,15,300
62,25,15,360
25,61,15,300
61,24,15,420
24,60,15,300
60,59,15,480
59,1,15,360
1,67,16,480
67,68,16,360
68,69,16,300
69,70,16,420
70,71,16,360
71,72,16,300
72,73,16,240
73,74,16,420
74,75,16,420
75,76,16,420
76,2,16,360
2,77,16,480
77,3,16,360
3,77,16,420
77,2,16,420
2,76,16,360
76,75,16,360
75,74,16,420
74,73,16,300
73,72,16,300
72,71,16,240
71,70,16,300
70,69,16,360
69,68,16,300
68,67,16,300
67,1,16,540
44,78,17,480
78,79,17,360
79,80,17,300
80,81,17,240
81,82,17,360
82,81,17,300
81,80,17,240
80,79,17,360
79,78,17,240
78,44,17,480
11,83,19,540
83,12,19,480
12,13,19,780
13,84,19,600
84,14,19,180
14,85,19,420
85,86,19,300
86,87,19,300
87,15,19,300
15,16,19,480
16,88,19,420
88,17,19,480
17,89,19,540
89,18,19,480
18,19,19,660
19,18,19,720
18,89,19,540
89,17,19,600
17,88,19,360
88,16,19,420
16,15,19,240
15,87,19,360
87,86,19,360
86,85,19,240
85,14,19,480
14,84,19,240
84,13,19,660
13,12,19,840
12,83,19,420
83,11,19,600
3,90,21,360
90,91,21,300
91,92,21,360
92,4,21,540
4,93,21,660
93,5,21,480
5,94,21,960
94,95,21,960
95,96,21,540
96,6,21,360
6,96,21,360
96,95,21,600
95,94,21,900
94,5,21,900
5,93,21,480
93,4,21,720
4,92,21,540
92,91,21,360
91,90,21,240
90,3,21,240
5,95,21b,420
95,5,21b,360
6,97,22,360
97,98,22,300
98,99,22,180
99,7,22,360
7,100,22,420
100,8,22,300
8,101,22,240
101,102,22,300
102,9,22,360
9,102,22,360
102,101,22,360
101,8,22,360
8,100,22,300
100,7,22,420
7,99,22,420
99,98,22,240
98,97,22,360
97,6,22,360
6,103,23,1260 
103,104,23,420
104,103,23,80
103,6,23,1200
82,105,24,480
105,106,24,420
106,107,24,480
107,2,24,720
2,107,24,720
107,106,24,480
106,105,24,480
105,82,24,480
4,108,25,720
108,109,25,360
109,110,25,240
110,111,25,300
111,112,25,300
112,113,25,780
113,114,25,540
114,115,25,240
115,116,25,720
116,115,25,660
115,114,25,240
114,113,25,600
113,112,25,300
112,111,25,300
111,110,25,360
110,109,25,240
109,108,25,300
108,4,25,840
4,117,25b,300
117,118,25b,720
118,119,25b,540
119,120,25b,600
120,121,25b,300
121,122,25b,360
122,123,25b,420
123,124,25b,240
124,125,25b,600
125,124,25b,540
124,123,25b,240
123,122,25b,360
122,121,25b,540
121,120,25b,120
120,119,25b,600
119,118,25b,600
118,117,25b,780
117,4,25b,420
116,18,26,3900
18,116,26,3900
8,126,31,540
126,127,31,1320
127,128,31,420
128,19,31,1680
19,128,31,1920
128,127,31,420
127,126,31,1380
126,8,31,540
3,13,33,8040
13,3,33,7920
3,16,34,8100
16,3,34,8100
