station1,station2,line,time
11,163,1,60
11,212,1,120
49,87,1,60
49,197,1,120
82,163,1,120
82,193,1,180
84,148,1,180
87,279,1,120
113,246,1,120
113,298,1,120
114,140,1,120
137,206,1,180
137,298,1,180
140,237,1,120
143,159,1,120
143,206,1,120
148,279,1,60
159,278,1,60
185,237,1,120
185,281,1,120
192,197,1,120
192,212,1,120
193,278,1,120
246,281,1,180
13,156,2,120
13,250,2,120
16,91,2,120
16,173,2,120
24,156,2,180
24,164,2,120
28,162,2,60
28,192,2,60
37,158,2,180
37,301,2,180
48,126,2,60
48,250,2,120
51,103,2,120
51,215,2,120
68,158,2,120
68,256,2,180
72,286,2,180
76,181,2,120
76,296,2,180
88,256,2,120
91,109,2,120
98,173,2,180
98,211,2,120
103,109,2,180
105,177,2,120
105,196,2,120
112,181,2,180
112,196,2,120
126,259,2,120
127,186,2,120
127,226,2,60
149,162,2,180
149,208,2,60
153,154,2,180
153,247,2,120
154,230,2,120
154,275,2,120
164,247,2,240
177,239,2,180
181,286,2,120
186,208,2,120
192,259,2,120
211,275,2,120
215,301,2,180
221,239,2,60
221,294,2,180
226,296,2,180
230,241,2,120
241,301,2,120
2,156,3,120
2,263,3,240
11,83,3,180
11,104,3,180
14,92,3,60
14,167,3,120
18,186,3,120
18,193,3,120
25,161,3,60
25,255,3,120
44,161,3,60
44,166,3,120
83,193,3,180
87,255,3,120
87,285,3,120
90,104,3,120
90,145,3,120
92,145,3,240
99,122,3,240
99,236,3,60
122,186,3,180
156,167,3,120
166,263,3,120
229,236,3,120
229,273,3,120
248,273,3,120
248,285,3,120
3,263,4,120
3,295,4,120
15,78,4,240
15,269,4,120
17,110,4,60
17,293,4,120
18,186,4,120
18,193,4,120
21,67,4,180
21,269,4,120
25,161,4,60
25,255,4,120
33,36,4,120
33,164,4,60
36,289,4,120
44,161,4,60
44,166,4,120
52,1,4,120
52,265,4,120
66,67,4,240
66,85,4,180
72,73,4,240
73,1,4,120
74,99,4,180
74,122,4,180
74,138,4,120
74,287,4,120
74,293,4,60
78,270,4,120
80,205,4,120
80,231,4,120
83,193,4,180
85,129,4,120
87,255,4,120
87,285,4,120
96,195,4,120
96,287,4,60
99,236,4,60
108,141,4,180
108,265,4,180
110,209,4,120
122,186,4,180
129,268,4,120
141,213,4,180
164,244,4,120
166,263,4,120
195,205,4,180
200,270,4,120
200,289,4,120
209,242,4,120
229,236,4,120
229,273,4,120
231,300,4,180
242,265,4,60
244,295,4,180
248,273,4,120
248,285,4,120
267,268,4,180
299,300,4,180
4,70,13,120
4,201,13,120
13,225,13,120
19,97,13,120
20,65,13,120
20,217,13,120
27,79,13,120
27,201,13,120
32,70,13,120
32,204,13,120
42,120,13,120
42,292,13,120
43,79,13,120
43,219,13,120
61,171,13,120
61,238,13,120
